"AB_category"	"category_description"	"gene"	"gene_description"
"Organo-mercury"	""	"merB2"	"Organomercurial lyase merB (merB2) is part of the second mer operon of the transposon TnMERI1 of Bacillus megaterium MB1. This second MerB (MerB2: organomercurial lyse) contributes to confer resistance to a wide range of organomercuric compounds than presence of  one merB."
"Mercury (Hg)"	""	"merR2"	"Mercuric resistance operon regulatory protein."
"Zinc (Zn)"	""	"zipB"	"zipB is a selective electrodiffusional channel; facilitates passive zinc uptake driven by zinc concentration gradients that are maintained by cellular zinc homeostasis"
"Cadmium (Cd)"	""	"zipB"	"zipB is a selective electrodiffusional channel; facilitates passive zinc uptake driven by zinc concentration gradients that are maintained by cellular zinc homeostasis"
"Quaternary Ammonium Compounds (QACs)"	""	"sdeY"	"Multidrug efflux pump SdeY"
"Biguanides"	""	"sdeY"	"Multidrug efflux pump SdeY"
"Phenolic compounds"	""	"sdeY"	"Multidrug efflux pump SdeY"
"Organo-sulfate"	""	"sdeY"	"Multidrug efflux pump SdeY"
"Acridine"	""	"sdeY"	"Multidrug efflux pump SdeY"
"Xanthene"	""	"sdeY"	"Multidrug efflux pump SdeY"
"Quaternary Ammonium Compounds (QACs)"	""	"sdeX"	"Multidrug efflux pump SdeX "
"Biguanides"	""	"sdeX"	"Multidrug efflux pump SdeX "
"Phenolic compounds"	""	"sdeX"	"Multidrug efflux pump SdeX "
"Organo-sulfate"	""	"sdeX"	"Multidrug efflux pump SdeX "
"Acridine"	""	"sdeX"	"Multidrug efflux pump SdeX "
"Xanthene"	""	"sdeX"	"Multidrug efflux pump SdeX "
"Phenanthridine"	""	"qacB"	"Antiseptic efflux pump qacB. qacA and qacB are different in sequence similarities by just by 7 nucleotides. "
"Quaternary Ammonium Compounds (QACs)"	""	"qacB"	"Antiseptic efflux pump qacB. qacA and qacB are different in sequence similarities by just by 7 nucleotides. "
"Diamidine"	""	"qacB"	"Antiseptic efflux pump qacB. qacA and qacB are different in sequence similarities by just by 7 nucleotides. "
"Guanylhydrazones"	""	"qacB"	"Antiseptic efflux pump qacB. qacA and qacB are different in sequence similarities by just by 7 nucleotides. "
"Copper (Cu)"	""	"copD"	"Copper resistance protein D; Required for the copper-inducible expression of copper resistance; part of the copper resistance determinant system."
"Copper (Cu)"	""	"copA"	"Part of copABCD operon, that encodes copper-binding and sequestering proteins for copper homeostasis in the copper-sensitive strain Pseudomonas putida PNL-MK25."
"Phenanthridine"	""	"cdeA"	"A multidrug efflux transporter of the MATE family, CdeA"
"Acridine"	""	"cdeA"	"A multidrug efflux transporter of the MATE family, CdeA"
"Quaternary Ammonium Compounds (QACs)"	""	"qacZ"	"Multidrug resistance transporter qacZ; qacZ gene in tolerance to the quaternary ammonium compound benzylkonium chloride, but not ethidium bromide or chlorhexidine."
"Acridine"	""	"sepA"	"Multidrug resistance efflux pump sepA; Involved in multidrug efflux. Confers low level resistance to drugs such as Acriflavine, benzylkonium chloride (BAC), chlorhexidine gluconate and ethidium bromide"
"Quaternary Ammonium Compounds (QACs)"	""	"sepA"	"Multidrug resistance efflux pump sepA; Involved in multidrug efflux. Confers low level resistance to drugs such as Acriflavine, benzylkonium chloride (BAC), chlorhexidine gluconate and ethidium bromide"
"Biguanides"	""	"sepA"	"Multidrug resistance efflux pump sepA; Involved in multidrug efflux. Confers low level resistance to drugs such as Acriflavine, benzylkonium chloride (BAC), chlorhexidine gluconate and ethidium bromide"
"Phenanthridine"	""	"sepA"	"Multidrug resistance efflux pump sepA; Involved in multidrug efflux. Confers low level resistance to drugs such as Acriflavine, benzylkonium chloride (BAC), chlorhexidine gluconate and ethidium bromide"
"Quaternary Ammonium Compounds (QACs)"	""	"qacJ"	"Multidrug efflux protein QacJ"
"Organo-sulfate"	""	"sdeB"	"Multidrug efflux protein SdeB; part of the sdeAB-tolC efflux system"
"Phenanthridine"	""	"sdeB"	"Multidrug efflux protein SdeB; part of the sdeAB-tolC efflux system"
"Alkane"	""	"sdeB"	"Multidrug efflux protein SdeB; part of the sdeAB-tolC efflux system"
"Biguanides"	""	"sdeB"	"Multidrug efflux protein SdeB; part of the sdeAB-tolC efflux system"
"Quaternary Ammonium Compounds (QACs)"	""	"sdeB"	"Multidrug efflux protein SdeB; part of the sdeAB-tolC efflux system"
"Acid"	""	"vmeY"	"Part of the VexYZ efflux transporter. VmeYZ uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Organo-sulfate"	""	"vmeY"	"Part of the VexYZ efflux transporter. VmeYZ uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acid"	""	"vmeZ"	"Part of the VexYZ efflux transporter. VmeYZ uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Organo-sulfate"	""	"vmeZ"	"Part of the VexYZ efflux transporter. VmeYZ uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Organo-sulfate"	""	"vmeV"	"Part of the VexTUV efflux transporter."
"Acid"	""	"vmeV"	"Part of the VexTUV efflux transporter."
"Phenanthridine"	""	"vmeV"	"Part of the VexTUV efflux transporter."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeV"	"Part of the VexTUV efflux transporter."
"Biguanides"	""	"vmeV"	"Part of the VexTUV efflux transporter."
"Acridine"	""	"vmeV"	"Part of the VexTUV efflux transporter."
"Organo-sulfate"	""	"vmeU"	"Part of the VexTUV efflux transporter."
"Acid"	""	"vmeU"	"Part of the VexTUV efflux transporter."
"Phenanthridine"	""	"vmeU"	"Part of the VexTUV efflux transporter."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeU"	"Part of the VexTUV efflux transporter."
"Biguanides"	""	"vmeU"	"Part of the VexTUV efflux transporter."
"Acridine"	""	"vmeU"	"Part of the VexTUV efflux transporter."
"Organo-sulfate"	""	"vmeT"	"Part of the VexTUV efflux transporter."
"Acid"	""	"vmeT"	"Part of the VexTUV efflux transporter."
"Phenanthridine"	""	"vmeT"	"Part of the VexTUV efflux transporter."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeT"	"Part of the VexTUV efflux transporter."
"Biguanides"	""	"vmeT"	"Part of the VexTUV efflux transporter."
"Acridine"	""	"vmeT"	"Part of the VexTUV efflux transporter."
"Organo-sulfate"	""	"vmeQ"	"Part of the VexPQ efflux transpporter. VexPQ VexGHI uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Acid"	""	"vmeQ"	"Part of the VexPQ efflux transpporter. VexPQ VexGHI uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Organo-sulfate"	""	"vmeP"	"Part of the VexPQ efflux transpporter. VexPQ VexGHI uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Acid"	""	"vmeP"	"Part of the VexPQ efflux transpporter. VexPQ VexGHI uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Phenanthridine"	""	"vmeJ"	"Part of the VexJK efflux transporter. VexJK uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Xanthene"	""	"vmeJ"	"Part of the VexJK efflux transporter. VexJK uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Phenanthridine"	""	"vmeK"	"Part of the VexJK efflux transporter. VexJK uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Xanthene"	""	"vmeK"	"Part of the VexJK efflux transporter. VexJK uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes."
"Organo-sulfate"	""	"vmeI"	"Part of VexGHI efflux transporter."
"Acid"	""	"vmeI"	"Part of VexGHI efflux transporter."
"Phenanthridine"	""	"vmeI"	"Part of VexGHI efflux transporter."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeI"	"Part of VexGHI efflux transporter."
"Biguanides"	""	"vmeI"	"Part of VexGHI efflux transporter."
"Organo-sulfate"	""	"vmeH"	"Part of VexGHI efflux transporter."
"Acid"	""	"vmeH"	"Part of VexGHI efflux transporter."
"Phenanthridine"	""	"vmeH"	"Part of VexGHI efflux transporter."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeH"	"Part of VexGHI efflux transporter."
"Biguanides"	""	"vmeH"	"Part of VexGHI efflux transporter."
"Organo-sulfate"	""	"vmeG"	"Part of VexGHI efflux transporter."
"Acid"	""	"vmeG"	"Part of VexGHI efflux transporter."
"Phenanthridine"	""	"vmeG"	"Part of VexGHI efflux transporter."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeG"	"Part of VexGHI efflux transporter."
"Biguanides"	""	"vmeG"	"Part of VexGHI efflux transporter."
"Phenanthridine"	""	"vmeF"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Organo-sulfate"	""	"vmeF"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acid"	""	"vmeF"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acridine"	""	"vmeF"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Phenanthridine"	""	"vmeE"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Organo-sulfate"	""	"vmeE"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acid"	""	"vmeE"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acridine"	""	"vmeE"	"VmeEF uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Quaternary Ammonium Compounds (QACs)"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Biguanides"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Phenanthridine"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Xanthene"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Acridine"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Bisbenzimide"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Organo-sulfate"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Acid"	""	"vpoC"	"Homologue of E. coli TolC outer membrane protein, vpoC."
"Acid"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Organo-sulfate"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Xanthene"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Biguanides"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Phenanthridine"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acridine"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Bisbenzimide"	""	"vmeC"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acid"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Organo-sulfate"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Xanthene"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Quaternary Ammonium Compounds (QACs)"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Biguanides"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Phenanthridine"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Acridine"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Bisbenzimide"	""	"vmeD"	"VmeCD uses a outer memberane protein such as TolC in E. coli or TolC-like VpoC in V. parahaemolyticus to function properly but complexes with VpoC can extrude various antimicrobial agents more effectively than complexes with TolC."
"Nickel (Ni)"	""	"mreA"	"Metal-sensitive repressor mreA, involved in resistance to metal ions. Bind nickel or zinc ions via conserved cysteine and histidine residues. In the absence of metal ions, this protein bind to promoter regions and repress transcription"
"Zinc (Zn)"	""	"mreA"	"Metal-sensitive repressor mreA, involved in resistance to metal ions. Bind nickel or zinc ions via conserved cysteine and histidine residues. In the absence of metal ions, this protein bind to promoter regions and repress transcription"
"Nickel (Ni)"	""	"mrdH"	"Membrane protein transpoeter mrdH"
"Cadmium (Cd)"	""	"mrdH"	"Membrane protein transpoeter mrdH"
"Zinc (Zn)"	""	"mrdH"	"Membrane protein transpoeter mrdH"
"Cobalt (Co)"	""	"mrdH"	"Membrane protein transpoeter mrdH"
"Acridine"	""	"pdrM"	"It is a Na(+)/drug antiporter in Streptococcus pneumoniae"
"Diamindine"	""	"pdrM"	"It is a Na(+)/drug antiporter in Streptococcus pneumoniae"
"Acid"	""	"bepF"	"Efflux pump periplasmic linker BepF; Contribute to resistance to some drugs, such as deoxycholate, sodium dodecyl sulfate and nalidixic acid, in the absence of BepD and BepE"
"Organo-sulfate"	""	"bepF"	"Efflux pump periplasmic linker BepF; Contribute to resistance to some drugs, such as deoxycholate, sodium dodecyl sulfate and nalidixic acid, in the absence of BepD and BepE"
"Acid"	""	"bepG"	"Efflux pump membrane transporter BepG; Contributes to resistance to some drugs, such as deoxycholate, sodium dodecyl sulfate and nalidixic acid, in the absence of BepD and BepE."
"Organo-sulfate"	""	"bepG"	"Efflux pump membrane transporter BepG; Contributes to resistance to some drugs, such as deoxycholate, sodium dodecyl sulfate and nalidixic acid, in the absence of BepD and BepE."
"Quaternary Ammonium Compounds (QACs)"	""	"bepC"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
"Acridine"	""	"bepC"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
"Triarylmethane"	""	"bepC"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
"Phenanthridine"	""	"bepC"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
"Xanthene"	""	"bepC"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
"Acid"	""	"bepC"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
"Organo-sulfate"	""	"bepC"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
"Acid"	""	"bepE"	"Efflux pump membrane transporter BepE. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics."
"Phenanthridine"	""	"bepE"	"Efflux pump membrane transporter BepE. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics."
"Triarylmethane"	""	"bepE"	"Efflux pump membrane transporter BepE. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics."
"Acid"	""	"bepD"	"Efflux pump periplasmic linker BepD. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics such as ampicillin, norfloxacin, ciprofloxacin, tetracycline, and doxycycline."
"Phenanthridine"	""	"bepD"	"Efflux pump periplasmic linker BepD. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics such as ampicillin, norfloxacin, ciprofloxacin, tetracycline, and doxycycline."
"Triarylmethane"	""	"bepD"	"Efflux pump periplasmic linker BepD. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics such as ampicillin, norfloxacin, ciprofloxacin, tetracycline, and doxycycline."
"Arsenic (As)"	""	"aioA/aoxB"	"It is a structural gene which codes for small subunit of Arsenite oxidase aioAB; Involved in the detoxification of arsenic. Oxidizes As(III)O3- (arsenite) to the somewhat less toxic As(V)O4- (arsenate)."
"Arsenic (As)"	""	"aioB/aoxA"	"It is a structural gene which codes for small subunit of Arsenite oxidase, AioAB; Involved in the detoxification of arsenic. Oxidizes As(III)O3- (arsenite) to the somewhat less toxic As(V)O4- (arsenate)."
"Phenanthridine"	""	"adeE"	"Resistance-nodulation-cell division efflux system AdeDE in Acinetobacter. AdeDE increases the host resistance to ceftazidime and rifampicin. The outer-membrane protein (OMP) for AdeDE has not been identified yet (Oct 2013)."
"Acridine"	""	"adeE"	"Resistance-nodulation-cell division efflux system AdeDE in Acinetobacter. AdeDE increases the host resistance to ceftazidime and rifampicin. The outer-membrane protein (OMP) for AdeDE has not been identified yet (Oct 2013)."
"Quaternary Ammonium Compounds (QACs)"	""	"emeA"	"Multidrug efflux pump emeA"
"Iron (Fe)"	""	"dpsA"	"dpsA respsonses to stress, iron-binding protein; has role in iron ion homeostasis"
"Peroxides"	""	"dpsA"	"dpsA respsonses to stress, iron-binding protein; has role in iron ion homeostasis"
"Copper (Cu)"	""	"cueA"	"Copper transporter CueA; Periplasmic protein"
"Silver (Ag)"	""	"cueA"	"Copper transporter CueA; Periplasmic protein"
"Quaternary Ammonium Compounds (QACs)"	""	"norB"	"Quinolone resistance protein norB, Multidrug efflux pump that acts independently of norA and is one of the factors that confers resistance against diverse quinolones and chemical compounds By similarity. Can facilitate bacterial survival in vivo when overexpressed in an abscess and may contribute to the relative resistance of staphylococcal abscesses to antimicrobial therapy"
"Biguanides"	""	"cepA"	"Cation-efflux pump cepA, Cation-efflux transporter that may have a role in detoxification by similarity. Associated with chlorhexidine resistance."
"Copper (Cu)"	""	"cmeC"	"An outer membrane protein (CmeC). Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Cobalt (Co)"	""	"cmeC"	"An outer membrane protein (CmeC). Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Acid"	""	"cmeC"	"An outer membrane protein (CmeC). Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Organo-sulfate"	""	"cmeC"	"An outer membrane protein (CmeC). Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Phenanthridine  "	""	"cmeC"	"An outer membrane protein (CmeC). Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Copper (Cu)"	""	"cmeB"	"An inner membrane efflux transporter. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Cobalt (Co)"	""	"cmeB"	"An inner membrane efflux transporter. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Acid"	""	"cmeB"	"An inner membrane efflux transporter. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Organo-sulfate"	""	"cmeB"	"An inner membrane efflux transporter. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Phenanthridine"	""	"cmeB"	"An inner membrane efflux transporter. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Acridine"	""	"cmeB"	"An inner membrane efflux transporter. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Copper (Cu)"	""	"cmeA"	"RND efflux system, a periplasmic fusion protein CmeA. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Cobalt (Co)"	""	"cmeA"	"RND efflux system, a periplasmic fusion protein CmeA. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Acid"	""	"cmeA"	"RND efflux system, a periplasmic fusion protein CmeA. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Organo-sulfate"	""	"cmeA"	"RND efflux system, a periplasmic fusion protein CmeA. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Phenanthridine"	""	"cmeA"	"RND efflux system, a periplasmic fusion protein CmeA. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
"Tungsten (W)"	""	"wtpC"	"Molybdate/tungstate import ATP-binding protein WtpC (ATPase). Part of the ABC transporter complex WtpABC involved in molybdate/tungstate import. Responsible for energy coupling to the transport system."
"Molybdenum (Mo)"	""	"wtpC"	"Molybdate/tungstate import ATP-binding protein WtpC (ATPase). Part of the ABC transporter complex WtpABC involved in molybdate/tungstate import. Responsible for energy coupling to the transport system."
"Tungsten (W)"	""	"wtpB"	"Molybdate/tungstate transport system permease protein WtpB. Part of the ABC transporter complex WtpABC involved in molybdate/tungstate import. Probably responsible for the translocation of the substrate across the membrane."
"Molybdenum (Mo)"	""	"wtpB"	"Molybdate/tungstate transport system permease protein WtpB. Part of the ABC transporter complex WtpABC involved in molybdate/tungstate import. Probably responsible for the translocation of the substrate across the membrane."
"Tungsten (W)"	""	"wtpA"	"Molybdate/tungstate-binding protein WtpA. Part of the ABC transporter complex WtpABC involved in molybdate/tungstate import. Binds tungstate and molybdate, with a preference for tungstate."
"Molybdenum (Mo)"	""	"wtpA"	"Molybdate/tungstate-binding protein WtpA. Part of the ABC transporter complex WtpABC involved in molybdate/tungstate import. Binds tungstate and molybdate, with a preference for tungstate."
"Copper (Cu)"	""	"tcrB"	"The transferable, plasmid-localized Copper resistance efflux ATPase, TcrB"
"Cobalt (Co)"	""	"ncrY"	"Plasmid-borne NcrY protein. Part of ncrABCY nickel resistance determinant system. Some claims it has a negative effect on nickel resistance."
"Nickel (Ni)"	""	"ncrY"	"Plasmid-borne NcrY protein. Part of ncrABCY nickel resistance determinant system. Some claims it has a negative effect on nickel resistance."
"Cobalt (Co)"	""	"ncrC"	"Plasmid-borne ncrC protein. Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA."
"Nickel (Ni)"	""	"ncrC"	"Plasmid-borne ncrC protein. Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA."
"Cobalt (Co)"	""	"ncrB"	"Plasmid-borne ncrB protein. Probabale metal-sensitive repressor, involved in resistance to nickel ions. Part of ncrABCY nickel resistance determinant system."
"Nickel (Ni)"	""	"ncrB"	"Plasmid-borne ncrB protein. Probabale metal-sensitive repressor, involved in resistance to nickel ions. Part of ncrABCY nickel resistance determinant system."
"Cobalt (Co)"	""	"ncrA"	"Plasmid-borne ncrA protein. It encodes a membrane protein that forms an efflux with another membrane protein ncrC. Part of ncrABCY nickel resistance determinant system."
"Nickel (Ni)"	""	"ncrA"	"Plasmid-borne ncrA protein. It encodes a membrane protein that forms an efflux with another membrane protein ncrC. Part of ncrABCY nickel resistance determinant system."
"Copper (Cu)"	""	"cueP"	"Periplasmic copper-binding protein and has been implicated in the transfer of copper ions to SodCII in the periplasm; evolved to survive in the phagosomes of macrophages in Salmonella enterica serovar Typhimurium; CueP can functionally replace the Cus complex for periplasmic copper resistance, in particular under anaerobic conditions; CueP does not confer silver or gold resistance to Salmonella"
"Copper (Cu)"	""	"acrD"	"Acriflavine resistance protein D; participates in the efflux of aminoglycosides. It confers resistance to a variety of these substances. It contributes to copper and zinc resistance in Salmonella."
"Zinc (Zn)"	""	"acrD"	"Acriflavine resistance protein D; participates in the efflux of aminoglycosides. It confers resistance to a variety of these substances. It contributes to copper and zinc resistance in Salmonella."
"Iron (Fe)"	""	"pmrG"	"It is a phodphatase and catalyzes the dephosphorylation of heptose(II) of the outer membrane lipopolysaccharide core and localizes to the periplasm. Required for iron(III)+ resistance."
